minbound,shape,unit
-55500,38,1500
-7500,24,1500
0,24,3000

IX,IY,IZ,value
2,10,7,0.653284
2,10,8,0.639599
2,10,9,0.621548
2,10,10,0.599721
2,10,11,0.5747
2,10,12,0.547014
2,10,13,0.51712
2,10,14,0.485404
2,10,15,0.452181
2,10,16,0.41771
2,10,17,0.382199
2,10,18,0.345818
2,10,19,0.308705
2,10,20,0.27097
2,10,21,0.232706
2,10,22,0
2,10,23,0
2,11,0,0.588382
2,11,1,0.608225
2,11,2,0.624227
2,11,3,0.63588
2,11,4,0
2,11,5,0.644587
2,11,6,0.641286
2,11,7,0.632995
2,11,8,0.620039
2,11,9,0.602876
2,11,10,0.582024
2,11,11,0.558004
2,11,12,0.531302
2,11,13,0.502352
2,11,14,0.471521
2,11,15,0.43912
2,11,16,0.405405
2,11,17,0.370589
2,11,18,0.334842
2,11,19,0.298309
2,11,20,0.261105
2,11,21,0.223327
2,11,22,0
2,11,23,0
2,12,0,0.570087
2,12,1,0.589046
2,12,2,0.604271
2,12,3,0.61532
2,12,4,0
2,12,5,0.623551
2,12,6,0.620432
2,12,7,0.612587
2,12,8,0.600293
2,12,9,0.583943
2,12,10,0.563996
2,12,11,0.540918
2,12,12,0.515156
2,12,13,0.487116
2,12,14,0.45715
2,12,15,0.425559
2,12,16,0.392597
2,12,17,0.358475
2,12,18,0.323368
2,12,19,0.287423
2,12,20,0.250759
2,12,21,0.213478
2,12,22,0
2,12,23,0
2,13,0,0.551518
2,13,1,0.569658
2,13,2,0.584173
2,13,3,0.594673
2,13,4,0
2,13,5,0.602476
2,13,6,0.599522
2,13,7,0.592079
2,13,8,0.580385
2,13,9,0.564783
2,13,10,0.545675
2,13,11,0.523484
2,13,12,0.498618
2,13,13,0.471454
2,13,14,0.442329
2,13,15,0.411533
2,13,16,0.379315
2,13,17,0.345886
2,13,18,0.311421
2,13,19,0.276068
2,13,20,0.239952
2,13,21,0.203176
2,13,22,0
2,13,23,0
2,14,0,0.532708
2,14,1,0.550089
2,14,2,0.563952
2,14,3,0.573954
2,14,4,0
2,14,5,0.58137
2,14,6,0.578564
2,14,7,0.571485
2,14,8,0.560338
2,14,9,0.545424
2,14,10,0.527098
2,14,11,0.50574
2,14,12,0.481724
2,14,13,0.455402
2,14,14,0.427093
2,14,15,0.397075
2,14,16,0.365591
2,14,17,0.332848
2,14,18,0.299024
2,14,19,0.264267
2,14,20,0.228703
2,14,21,0.19244
2,14,22,0
2,14,23,0
2,15,0,0.513685
2,15,1,0.530361
2,15,2,0.543625
2,15,3,0.553171
2,15,4,0
2,15,5,0.560237
2,15,6,0.557565
2,15,7,0.550816
2,15,8,0.54017
2,15,9,0.52589
